# {
#   "profile": "Insectendoos Specimen Import",
#   "version": "1.0",
#   "delimiter": ";",
#   "ignoreEmptyRows": true,
#   "isConfidential": false,
#   "steps": [
#     {
#       "step": 1,
#       "target": "parent_object",
#       "contextKey": "DoosId",
#       "labelTemplate": "Insectendoos: {0}",
#       "objectTypeId": "019fcd20-b442-755f-af50-9cdf9716990d",
#       "parameters": [
#         { "parameterId": "019fc74c-cf8c-74ff-a3b6-b6d21c651a19", "column": 1 }
#       ]
#     },
#     {
#       "step": 2,
#       "target": "child_object",
#       "labelTemplate": "Specimen groep: {2} {3}",
#       "objectTypeId": "019fcd20-b56f-76ae-9bf0-f98a0354b7ca",
#       "relations": [
#         { 
#           "relationTypeId": "019fad01-ca30-769d-8c9c-6fc70fa9db0a", 
#           "relatedContextKey": "DoosId", 
#           "direction": "outgoing" 
#         }
#       ],
#       "parameters": [
#         { "parameterId": "019fad6f-c149-7795-b3e5-751c8b2b7949", "column": 4 }
#       ]
#     }
#   ]
# }
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Mycetoporus";"longulus";1
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Mycetoporus";"ruficornis";2
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Mycetoporus";"rufescens";1
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Mycetoporus";"splendidus";3
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Lordithon";"exoletus";3
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Lordithon";"trinotatus";4
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Lordithon";"thoracicus";2
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Bolitobius";"lunulatus";6
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Bryocharis";"analis";1
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Bryocharis";"cingulata";4
"15-09: 17.10.14L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 13";"Bryocharis";"inclinans";1
;;;;
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Conosoma";"litoreum";1
"15-10: 17.10.15L";"Natuurmuseum, Enschede - Coleoptera Nederland - Staphylinidae 14";"Conosoma";"testaceum";8
